import time: self [us] | cumulative | imported package
import time:       107 |        107 |   _io
import time:        49 |         49 |   marshal
import time:       259 |        259 |   posix
import time:       267 |        681 | _frozen_importlib_external
import time:        86 |         86 |   time
import time:        98 |        184 | zipimport
import time:       124 |        124 |     _codecs
import time:       216 |        339 |   codecs
import time:       335 |        335 |   encodings.aliases
import time:       574 |       1246 | encodings
import time:       150 |        150 | encodings.utf_8
import time:        75 |         75 | _signal
import time:        25 |         25 |     _abc
import time:       100 |        124 |   abc
import time:       110 |        234 | io
import time:        29 |         29 |       _stat
import time:        73 |        101 |     stat
import time:       900 |        900 |     _collections_abc
import time:        24 |         24 |       genericpath
import time:        87 |        111 |     posixpath
import time:       379 |       1489 |   os
import time:        65 |         65 |   _sitebuiltins
import time:       691 |        691 |   _virtualenv
import time:       345 |        345 |   _distutils_hack
import time:       347 |        347 |   sitecustomize
import time:      1877 |       4811 | site
import time:       321 |        321 | __future__
import time:       227 |        227 |         types
import time:        68 |         68 |           _operator
import time:       319 |        387 |         operator
import time:       102 |        102 |             itertools
import time:       135 |        135 |             keyword
import time:       179 |        179 |             reprlib
import time:       145 |        145 |             _collections
import time:      1094 |       1652 |           collections
import time:        56 |         56 |           _functools
import time:       941 |       2648 |         functools
import time:      1840 |       5100 |       enum
import time:        77 |         77 |         _sre
import time:       185 |        185 |           re._constants
import time:       332 |        516 |         re._parser
import time:       113 |        113 |         re._casefix
import time:       433 |       1138 |       re._compiler
import time:       202 |        202 |       copyreg
import time:       510 |       6949 |     re
import time:       182 |       7131 |   fnmatch
import time:        57 |         57 |     _winapi
import time:        77 |         77 |     nt
import time:        58 |         58 |     nt
import time:        66 |         66 |     nt
import time:        58 |         58 |     nt
import time:        47 |         47 |     nt
import time:       196 |        557 |   ntpath
import time:       227 |        227 |   warnings
import time:        60 |         60 |   errno
import time:       109 |        109 |     urllib
import time:      1055 |       1055 |     ipaddress
import time:       940 |       2103 |   urllib.parse
import time:       841 |      10916 | pathlib
import time:       139 |        139 |   collections.abc
import time:       426 |        426 |   contextlib
import time:        45 |         45 |   _typing
import time:      1795 |       2405 | typing
import time:       129 |        129 |           concurrent
import time:       141 |        141 |                     token
import time:       720 |        861 |                   tokenize
import time:       144 |       1004 |                 linecache
import time:       706 |        706 |                 textwrap
import time:       426 |       2134 |               traceback
import time:       161 |        161 |                 _weakrefset
import time:       392 |        553 |               weakref
import time:        30 |         30 |                 _string
import time:       502 |        531 |               string
import time:       534 |        534 |               threading
import time:        27 |         27 |               atexit
import time:      1397 |       5173 |             logging
import time:       450 |       5623 |           concurrent.futures._base
import time:       235 |       5986 |         concurrent.futures
import time:        45 |         45 |           _heapq
import time:       161 |        205 |         heapq
import time:       121 |        121 |           _socket
import time:        58 |         58 |             math
import time:        45 |         45 |             select
import time:       427 |        529 |           selectors
import time:        63 |         63 |           array
import time:      1734 |       2445 |         socket
import time:        50 |         50 |             _locale
import time:       594 |        643 |           locale
import time:       444 |        444 |           signal
import time:        45 |         45 |           fcntl
